v1	V(vo1)	V(vo2)
-1.180000000000125e+000	-2.360469e+000	-1.368313e-004
-1.160000000000125e+000	-2.320470e+000	-1.348648e-004
-1.140000000000125e+000	-2.280471e+000	-1.328831e-004
-1.120000000000125e+000	-2.240471e+000	-1.308855e-004
-1.100000000000125e+000	-2.200472e+000	-1.288715e-004
-1.080000000000125e+000	-2.160473e+000	-1.268404e-004
-1.060000000000125e+000	-2.120474e+000	-1.247914e-004
-1.040000000000125e+000	-2.080475e+000	-1.227240e-004
-1.020000000000125e+000	-2.040476e+000	-1.206372e-004
-1.000000000000125e+000	-2.000476e+000	-1.185304e-004
-9.800000000001252e-001	-1.960477e+000	-1.164026e-004
-9.600000000001252e-001	-1.920478e+000	-1.142530e-004
-9.400000000001252e-001	-1.880479e+000	-1.120805e-004
-9.200000000001252e-001	-1.840480e+000	-1.098842e-004
-9.000000000001251e-001	-1.800481e+000	-1.076630e-004
-8.800000000001251e-001	-1.760482e+000	-1.054158e-004
-8.600000000001251e-001	-1.720483e+000	-1.031412e-004
-8.400000000001251e-001	-1.680484e+000	-1.008381e-004
-8.200000000001251e-001	-1.640485e+000	-9.850493e-005
-8.000000000001251e-001	-1.600486e+000	-9.614033e-005
-7.800000000001250e-001	-1.560487e+000	-9.374267e-005
-7.600000000001250e-001	-1.520489e+000	-9.131027e-005
