time	V(vin)	V(vout)	V(n002)
1.493638468689903e-003	3.996004e-001	-8.852124e+000	1.906927e-001
1.494223322622094e-003	3.628797e-001	-8.821507e+000	1.952867e-001
1.494794486915382e-003	3.270137e-001	-8.762645e+000	2.043480e-001
1.495384934274142e-003	2.899325e-001	-8.662035e+000	2.213552e-001
1.495838653382881e-003	2.614353e-001	-8.553925e+000	2.401224e-001
1.496259190335903e-003	2.350204e-001	-8.431674e+000	2.607805e-001
1.496711239092590e-003	2.066242e-001	-8.285083e+000	2.852885e-001
1.497193106344545e-003	1.763532e-001	-8.116330e+000	3.133615e-001
1.497778497062262e-003	1.395766e-001	-7.895719e+000	3.497582e-001
1.498691648413916e-003	8.220523e-002	-7.518752e+000	4.110514e-001
1.500479050330746e-003	-3.009957e-002	-6.679680e+000	5.452638e-001
1.504053854164405e-003	-2.546836e-001	-4.742467e+000	8.618267e-001
1.507811937229107e-003	-4.906414e-001	-2.425970e+000	1.253286e+000
1.510438881273070e-003	-6.554241e-001	-6.439293e-001	1.557155e+000
1.511538183597984e-003	-7.243306e-001	1.428768e-001	1.690048e+000
1.512171897502382e-003	-7.640375e-001	6.041847e-001	1.767470e+000
1.512908841774327e-003	-8.101974e-001	1.132792e+000	1.856298e+000
1.513181292936751e-003	-8.272586e-001	1.311704e+000	1.886423e+000
1.513315141767453e-003	-8.356394e-001	1.379417e+000	1.897466e+000
1.513369719139930e-003	-8.390566e-001	1.393837e+000	1.899324e+000
1.513414045882216e-003	-8.418319e-001	1.397231e+000	1.899591e+000
1.513494614848962e-003	-8.468761e-001	1.397955e+000	1.899701e+000
1.515013282815903e-003	-9.419140e-001	1.399271e+000	1.899887e+000
1.515460910864876e-003	-9.699105e-001	1.413056e+000	1.900106e+000
1.515718804511952e-003	-9.860368e-001	1.470851e+000	1.906785e+000
1.515877486012391e-003	-9.959579e-001	1.560275e+000	1.926746e+000
1.516011377004876e-003	-1.004328e+000	1.658535e+000	1.942817e+000
1.516153541192398e-003	-1.013215e+000	1.765520e+000	1.960291e+000
1.516291019948212e-003	-1.021809e+000	1.873043e+000	1.978926e+000
1.516565977459840e-003	-1.038993e+000	2.091450e+000	2.014518e+000
1.516839323624325e-003	-1.056073e+000	2.312428e+000	2.052014e+000
1.517197050778105e-003	-1.078421e+000	2.606873e+000	2.100430e+000
1.517689991121555e-003	-1.109208e+000	3.019374e+000	2.169594e+000
1.518294406932423e-003	-1.146942e+000	3.534522e+000	2.254823e+000
1.519163251504160e-003	-1.201155e+000	4.290662e+000	2.380853e+000
1.520389997226221e-003	-1.277640e+000	5.384724e+000	2.562212e+000
1.522042143741473e-003	-1.380526e+000	6.888520e+000	2.814373e+000
1.522232167860142e-003	-1.392350e+000	7.064387e+000	2.843800e+000
1.522612216097481e-003	-1.415992e+000	7.420863e+000	2.903033e+000
1.523372312572159e-003	-1.463253e+000	8.136634e+000	3.022759e+000
1.523414443442829e-003	-1.465872e+000	8.174773e+000	3.028941e+000
1.523667228666846e-003	-1.481581e+000	8.383383e+000	3.064332e+000
1.523775002608731e-003	-1.488278e+000	8.458186e+000	3.077168e+000
1.523864857970336e-003	-1.493860e+000	8.497473e+000	3.084428e+000
1.523997141818619e-003	-1.502078e+000	8.519612e+000	3.087305e+000
1.524089228322765e-003	-1.507798e+000	8.522629e+000	3.087002e+000
1.524432913117893e-003	-1.529142e+000	8.523738e+000	3.087288e+000
1.524518524609650e-003	-1.534458e+000	8.527505e+000	3.087923e+000
1.524607108235602e-003	-1.539958e+000	8.532796e+000	3.088867e+000
1.524797384854153e-003	-1.551769e+000	8.537403e+000	3.089621e+000
1.533239435702770e-003	-2.076782e+000	8.537831e+000	3.089684e+000
1.541681486551386e-003	-2.592437e+000	8.538157e+000	3.089732e+000
1.550123537400002e-003	-3.098735e+000	8.538381e+000	3.089765e+000
1.558565588248619e-003	-3.595676e+000	8.538504e+000	3.089783e+000
1.567007639097236e-003	-4.083259e+000	8.538524e+000	3.089786e+000
1.575449689945852e-003	-4.561485e+000	8.538443e+000	3.089774e+000
1.583891740794468e-003	-5.030354e+000	8.538260e+000	3.089748e+000
1.604399553294468e-003	-6.099216e+000	8.538260e+000	3.089746e+000
1.624907365794468e-003	-7.066951e+000	8.538260e+000	3.089748e+000
1.645415178294467e-003	-7.917512e+000	8.538260e+000	3.089746e+000
1.665922990794467e-003	-8.636796e+000	8.538260e+000	3.089748e+000
1.686430803294467e-003	-9.212878e+000	8.538260e+000	3.089746e+000
1.706938615794467e-003	-9.636207e+000	8.538261e+000	3.089748e+000
1.727446428294466e-003	-9.899762e+000	8.538261e+000	3.089746e+000
1.747954240794466e-003	-9.999174e+000	8.538261e+000	3.089748e+000
1.768462053294466e-003	-9.932795e+000	8.538260e+000	3.089746e+000
1.788969865794465e-003	-9.701725e+000	8.538260e+000	3.089748e+000
1.809477678294465e-003	-9.309796e+000	8.538260e+000	3.089746e+000
1.829985490794465e-003	-8.763506e+000	8.538260e+000	3.089748e+000
1.850493303294464e-003	-8.071913e+000	8.538260e+000	3.089747e+000
1.871001115794464e-003	-7.246483e+000	8.538260e+000	3.089748e+000
1.891508928294464e-003	-6.300903e+000	8.538260e+000	3.089747e+000
1.912016740794463e-003	-5.250851e+000	8.538260e+000	3.089748e+000
1.932524553294463e-003	-4.113738e+000	8.538260e+000	3.089747e+000
1.953032365794463e-003	-2.908416e+000	8.538261e+000	3.089748e+000
1.973540178294463e-003	-1.654872e+000	8.538261e+000	3.089747e+000
1.994047990794464e-003	-3.738886e-001	8.538261e+000	3.089748e+000
2.007719865794464e-003	4.848633e-001	8.538261e+000	3.089748e+000
2.028227678294464e-003	1.764313e+000	8.538260e+000	3.089747e+000
2.048735490794464e-003	3.014510e+000	8.538260e+000	3.089748e+000
2.069243303294465e-003	4.214725e+000	8.538260e+000	3.089747e+000
2.089751115794465e-003	5.345058e+000	8.538260e+000	3.089748e+000
2.100201495177362e-003	5.888090e+000	8.538270e+000	3.089749e+000
2.101939991264331e-003	5.976027e+000	8.538292e+000	3.089756e+000
2.104596038950220e-003	6.108995e+000	8.543370e+000	3.090355e+000
2.105325802689106e-003	6.145233e+000	8.549801e+000	3.091454e+000
2.105810139474420e-003	6.169212e+000	8.559286e+000	3.092993e+000
2.106159244278856e-003	6.186460e+000	8.572631e+000	3.095083e+000
2.106869392115090e-003	6.221455e+000	8.634770e+000	3.105502e+000
2.107412870072207e-003	6.248153e+000	8.708385e+000	3.118047e+000
